,Position
2017-10-04 14:19:18.909100,STATE4a
2017-10-04 14:19:19.508700,STATE4b
2017-10-04 14:19:20.109300,STATE1
2017-10-04 14:19:53.908300,STATE2a
2017-10-04 14:19:54.508300,STATE2b
2017-10-04 14:19:55.109000,STATE3
2017-10-04 14:20:28.909100,STATE4a
2017-10-04 14:20:29.509000,STATE4b
2017-10-04 14:20:30.108400,STATE1
2017-10-04 14:21:03.908600,STATE2a
2017-10-04 14:21:04.508700,STATE2b
2017-10-04 14:21:05.108800,STATE3
2017-10-04 14:21:38.907900,STATE4a
2017-10-04 14:21:39.508300,STATE4b
2017-10-04 14:21:40.108400,STATE1
2017-10-04 14:22:03.908200,STATE2a
2017-10-04 14:22:04.508200,STATE2b
